episode, 	score, 	total_loss, 	actor_loss, 	critic_loss, 	entropy
1, 	0.000000, 	0.447137, 	0.099310, 	0.003480, 	2.106222
2, 	0.000000, 	2.164689, 	-0.331653, 	0.024966, 	2.106611
3, 	0.000000, 	1.984789, 	0.091512, 	0.018935, 	2.107213
4, 	0.000000, 	6.597217, 	0.509042, 	0.060884, 	2.107721
5, 	0.000000, 	3.692533, 	0.387656, 	0.033051, 	2.108024
6, 	0.000000, 	5.292391, 	-0.010275, 	0.053029, 	2.108316
7, 	0.000000, 	2.165965, 	0.155124, 	0.020111, 	2.108887
8, 	0.000000, 	1.446050, 	-0.168203, 	0.016145, 	2.109436
9, 	0.000000, 	1.861574, 	0.033127, 	0.018287, 	2.109942
10, 	0.000000, 	0.993702, 	-0.192780, 	0.011867, 	2.110257
11, 	0.000000, 	1.583445, 	-0.093338, 	0.016770, 	2.110354
12, 	0.000000, 	1.539746, 	-0.150135, 	0.016901, 	2.110207
13, 	0.000000, 	2.897118, 	-0.443112, 	0.033404, 	2.109954
14, 	0.000000, 	4.037250, 	-0.507539, 	0.045450, 	2.109750
15, 	0.000000, 	1.834306, 	-0.228328, 	0.020628, 	2.109457
16, 	0.000000, 	2.240497, 	0.101107, 	0.021396, 	2.109397
17, 	0.000000, 	3.497834, 	0.335959, 	0.031621, 	2.109157
18, 	0.000000, 	1.283288, 	0.199235, 	0.010843, 	2.108778
19, 	0.000000, 	2.676846, 	0.321266, 	0.023558, 	2.108747
20, 	0.000000, 	5.634742, 	0.484091, 	0.051509, 	2.108747
21, 	0.000000, 	3.827442, 	0.331713, 	0.034959, 	2.108446
22, 	0.000000, 	0.346000, 	0.023942, 	0.003223, 	2.108003
23, 	0.000000, 	0.230329, 	-0.164267, 	0.003948, 	2.107165
24, 	0.000000, 	15.072521, 	-1.169587, 	0.162423, 	2.106900
25, 	0.000000, 	2.077765, 	-0.382164, 	0.024601, 	2.106425
26, 	0.000000, 	2.917121, 	-0.313327, 	0.032307, 	2.105913
27, 	0.000000, 	2.442254, 	-0.289218, 	0.027317, 	2.105468
28, 	0.000000, 	5.890024, 	-0.420347, 	0.063106, 	2.105115
29, 	0.100000, 	4.927288, 	-0.474535, 	0.054020, 	2.104809
30, 	0.000000, 	4.726625, 	-0.253472, 	0.049803, 	2.104935
31, 	0.000000, 	0.319510, 	-0.072847, 	0.003926, 	2.105106
32, 	0.000000, 	1.211758, 	0.104730, 	0.011072, 	2.105424
33, 	0.000000, 	1.755523, 	0.251176, 	0.015046, 	2.105247
34, 	0.000000, 	1.968876, 	0.307177, 	0.016619, 	2.105031
35, 	0.000000, 	0.428745, 	0.089511, 	0.003394, 	2.104706
36, 	0.000000, 	0.042808, 	-0.011988, 	0.000550, 	2.104317
37, 	0.000000, 	0.134014, 	-0.073644, 	0.002079, 	2.104310
38, 	0.000000, 	0.061135, 	0.027073, 	0.000343, 	2.104598
39, 	0.000000, 	0.353941, 	-0.129203, 	0.004834, 	2.104607
40, 	0.000000, 	2.039609, 	0.056589, 	0.019832, 	2.104960
41, 	0.000000, 	0.254200, 	0.043872, 	0.002105, 	2.105196
42, 	0.000000, 	0.224693, 	-0.012208, 	0.002371, 	2.105024
43, 	0.000000, 	1.209719, 	0.130103, 	0.010798, 	2.104962
44, 	0.000000, 	0.542229, 	0.075806, 	0.004666, 	2.104913
45, 	0.000000, 	0.068209, 	0.028733, 	0.000397, 	2.104663
46, 	0.000000, 	0.501063, 	-0.236856, 	0.007381, 	2.104468
47, 	0.100000, 	4.013810, 	-0.356343, 	0.043704, 	2.103225
48, 	0.000000, 	8.489204, 	-0.587363, 	0.090768, 	2.103222
49, 	0.100000, 	3.646148, 	-0.425123, 	0.040715, 	2.103661
50, 	0.000000, 	1.649916, 	0.093403, 	0.015567, 	2.104199
51, 	0.000000, 	1.620589, 	-0.071068, 	0.016919, 	2.104752
52, 	0.000000, 	0.115148, 	-0.024306, 	0.001397, 	2.104768
53, 	0.000000, 	0.528071, 	-0.050438, 	0.005787, 	2.104827
54, 	0.000000, 	0.185252, 	-0.009949, 	0.001954, 	2.104792
55, 	0.000000, 	0.399753, 	0.091733, 	0.003082, 	2.104687
56, 	0.000000, 	0.368936, 	-0.071272, 	0.004404, 	2.104731
57, 	0.000000, 	0.114991, 	-0.025831, 	0.001410, 	2.104924
58, 	0.000000, 	0.193045, 	-0.077138, 	0.002704, 	2.105236
59, 	0.000000, 	0.407061, 	0.099752, 	0.003075, 	2.105448
60, 	0.000000, 	0.653281, 	0.158899, 	0.004946, 	2.105323
61, 	0.000000, 	0.709930, 	0.145453, 	0.005647, 	2.105375
62, 	0.000000, 	0.747570, 	0.106592, 	0.006412, 	2.105351
63, 	0.000000, 	0.311394, 	0.094556, 	0.002170, 	2.105264
64, 	0.000000, 	1.036631, 	-0.221235, 	0.012581, 	2.104750
